,age,gender,race,file
0,9.0,female,asian,UTKFace/9_1_2_20161219204347420.jpg.chip.jpg
1,36.0,male,black,UTKFace/36_0_1_20170117163203851.jpg.chip.jpg
2,86.0,female,white,UTKFace/86_1_0_20170120225751953.jpg.chip.jpg
3,26.0,female,white,UTKFace/26_1_0_20170116171048641.jpg.chip.jpg
4,1.0,female,asian,UTKFace/1_1_2_20161219154612988.jpg.chip.jpg
5,52.0,male,black,UTKFace/52_0_1_20170117161018159.jpg.chip.jpg
6,25.0,female,white,UTKFace/25_1_0_20170117134403373.jpg.chip.jpg
7,16.0,male,white,UTKFace/16_0_0_20170104003740977.jpg.chip.jpg
8,27.0,male,indian,UTKFace/27_0_3_20170119210058457.jpg.chip.jpg
9,36.0,male,indian,UTKFace/36_0_3_20170119180245724.jpg.chip.jpg
10,58.0,male,asian,UTKFace/58_0_2_20170116193704928.jpg.chip.jpg
11,6.0,female,white,UTKFace/6_1_0_20170114024512634.jpg.chip.jpg
12,35.0,female,asian,UTKFace/35_1_2_20170116185947151.jpg.chip.jpg
13,1.0,female,indian,UTKFace/1_1_3_20161219230734016.jpg.chip.jpg
14,26.0,female,black,UTKFace/26_1_1_20170103181931657.jpg.chip.jpg
15,2.0,male,asian,UTKFace/2_0_2_20161219141650121.jpg.chip.jpg
16,53.0,female,white,UTKFace/53_1_0_20170110143534851.jpg.chip.jpg
17,35.0,male,indian,UTKFace/35_0_3_20170119201304861.jpg.chip.jpg
18,23.0,female,white,UTKFace/23_1_0_20170117142807780.jpg.chip.jpg
19,24.0,male,indian,UTKFace/24_0_3_20170119152239904.jpg.chip.jpg
20,26.0,female,asian,UTKFace/26_1_2_20170116182434267.jpg.chip.jpg
21,75.0,male,white,UTKFace/75_0_0_20170117204739711.jpg.chip.jpg
22,36.0,female,others,UTKFace/36_1_4_20170104172843788.jpg.chip.jpg
23,23.0,female,white,UTKFace/23_1_0_20170116222839270.jpg.chip.jpg
24,50.0,male,white,UTKFace/50_0_0_20170117155052592.jpg.chip.jpg
25,15.0,male,white,UTKFace/15_0_0_20170116211720424.jpg.chip.jpg
26,25.0,male,black,UTKFace/25_0_1_20170116002302626.jpg.chip.jpg
27,37.0,male,white,UTKFace/37_0_0_20170104205628245.jpg.chip.jpg
28,10.0,male,black,UTKFace/10_0_1_20170110223848885.jpg.chip.jpg
29,22.0,male,black,UTKFace/22_0_1_20170113150441654.jpg.chip.jpg
30,1.0,male,asian,UTKFace/1_0_2_20161219205313061.jpg.chip.jpg
31,29.0,female,asian,UTKFace/29_1_2_20170116163350492.jpg.chip.jpg
32,26.0,male,black,UTKFace/26_0_1_20170113174952963.jpg.chip.jpg
33,21.0,male,white,UTKFace/21_0_0_20170116215444801.jpg.chip.jpg
34,46.0,male,indian,UTKFace/46_0_3_20170119195336586.jpg.chip.jpg
35,52.0,male,white,UTKFace/52_0_0_20170104212337021.jpg.chip.jpg
36,26.0,female,white,UTKFace/26_1_0_20170117154814509.jpg.chip.jpg
37,27.0,male,indian,UTKFace/27_0_3_20170119211454145.jpg.chip.jpg
38,17.0,male,white,UTKFace/17_0_0_20170117134955265.jpg.chip.jpg
39,63.0,male,black,UTKFace/63_0_1_20170117155018994.jpg.chip.jpg
